DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2012,74.91,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2013,79.29,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2014,81.76,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2016,82.54,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2017,85.86,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2018,89.85,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2019,87.71,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2020,87.19,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2021,92.86,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2022,90.47,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT11,2023,93.66,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2012,78.99,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2013,75.64,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2014,77.77,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2016,82.53,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2017,88.86,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2018,85.99,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2019,91.69,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2020,91.65,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2021,94.74,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2022,91.25,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT12,2023,95.91,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2012,84.31,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2013,83.49,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2014,84.47,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2016,88.45,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2017,89.36,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2018,90.95,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2019,91.83,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2020,92.95,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2021,96.15,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2022,96.31,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT13,2023,96.18,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2012,77.19,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2013,76.50,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2014,74.90,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2016,83.75,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2017,85.50,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2018,85.21,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2019,87.30,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2020,87.37,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2021,92.24,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2022,91.25,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT21,2023,93.05,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2012,78.06,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2013,81.56,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2014,80.14,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2016,82.45,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2017,90.33,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2018,87.99,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2019,85.55,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2020,85.97,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2021,94.12,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2022,92.64,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT22,2023,92.67,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2012,76.80,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2013,82.81,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2014,80.42,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2016,85.81,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2017,88.89,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2018,89.64,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2019,88.68,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2020,90.44,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2021,95.98,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2022,92.25,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT31,2023,94.49,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2012,80.38,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2013,78.85,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2014,85.14,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2016,85.69,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2017,88.07,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2018,89.98,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2019,89.76,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,AT32,2020,88.08,
