freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_HH,AT11	74.91 	79.29 	81.76 	: 	82.54 	85.86 	89.85 	87.71 	87.19 	92.86 	90.47 	93.66 
A,PC_HH,AT12	78.99 	75.64 	77.77 	: 	82.53 	88.86 	85.99 	91.69 	91.65 	94.74 	91.25 	95.91 
A,PC_HH,AT13	84.31 	83.49 	84.47 	: 	88.45 	89.36 	90.95 	91.83 	92.95 	96.15 	96.31 	96.18 
A,PC_HH,AT21	77.19 	76.50 	74.90 	: 	83.75 	85.50 	85.21 	87.30 	87.37 	92.24 	91.25 	93.05 
A,PC_HH,AT22	78.06 	81.56 	80.14 	: 	82.45 	90.33 	87.99 	85.55 	85.97 	94.12 	92.64 	92.67 
A,PC_HH,AT31	76.80 	82.81 	80.42 	: 	85.81 	88.89 	89.64 	88.68 	90.44 	95.98 	92.25 	94.49 
A,PC_HH,AT32	80.38 	78.85 	85.14 	: 	85.69 	88.07 	89.98 	89.76 	88.08 	96.00 	92.52 	95.86 
A,PC_HH,AT33	73.94 	83.94 	81.70 	: 	84.17 	89.32 	88.69 	92.95 	91.54 	93.11 	94.70 	95.60 
A,PC_HH,AT34	81.03 	83.81 	81.50 	: 	88.05 	87.10 	90.77 	90.42 	93.40 	96.89 	91.71 	94.97 
A,PC_HH,BE10	78.51 	78.03 	80.08 	80.34 	88.02 	85.27 	87.78 	88.97 	89.52 	92.53 	95.76 	95.01 
A,PC_HH,BE21	80.44 	85.77 	85.95 	83.60 	86.40 	88.61 	89.42 	92.85 	90.75 	92.79 	96.79 	96.06 
A,PC_HH,BE22	82.09 	83.23 	88.95 	85.06 	88.02 	89.86 	89.46 	92.94 	91.83 	93.09 	96.34 	94.24 
A,PC_HH,BE23	81.18 	82.61 	86.05 	83.10 	87.16 	86.02 	88.24 	89.20 	93.22 	92.75 	94.27 	93.92 
A,PC_HH,BE24	82.73 	82.59 	87.24 	87.58 	87.32 	88.51 	89.99 	93.53 	94.21 	96.83 	94.48 	98.68 
A,PC_HH,BE25	76.50 	78.28 	83.18 	81.67 	83.47 	87.80 	88.00 	90.49 	90.63 	93.95 	94.54 	92.86 
A,PC_HH,BE31	87.58 	83.83 	86.98 	84.70 	88.10 	88.68 	88.92 	90.96 	95.91 	95.53 	97.68 	94.05 
A,PC_HH,BE32	67.25 	72.14 	74.46 	77.01 	75.42 	78.94 	82.15 	83.46 	87.10 	88.20 	91.74 	93.73 
A,PC_HH,BE33	72.10 	76.93 	77.39 	77.91 	83.60 	84.57 	85.59 	88.66 	92.01 	91.67 	92.91 	94.20 
A,PC_HH,BE34	75.79 	76.42 	81.24 	81.61 	88.39 	84.54 	86.15 	89.98 	86.66 	89.25 	90.48 	91.43 
A,PC_HH,BE35	75.64 	78.82 	81.59 	78.19 	79.18 	82.72 	80.94 	85.27 	85.61 	86.22 	90.58 	90.29 
A,PC_HH,BG31	38.23 	42.81 	44.88 	44.86 	58.56 	57.77 	65.22 	70.80 	66.15 	73.50 	83.07 	82.57 
A,PC_HH,BG32	47.53 	49.57 	58.45 	58.21 	61.53 	67.77 	68.53 	73.17 	74.76 	82.67 	85.63 	85.36 
A,PC_HH,BG33	47.89 	51.54 	56.16 	56.48 	67.34 	68.69 	73.89 	74.02 	77.70 	85.23 	85.39 	86.52 
A,PC_HH,BG34	49.64 	46.54 	52.30 	58.64 	60.85 	62.12 	69.97 	74.73 	77.24 	81.73 	84.92 	87.49 
A,PC_HH,BG41	59.31 	64.28 	63.68 	67.75 	64.89 	70.51 	75.27 	77.80 	85.86 	86.23 	90.48 	92.82 
A,PC_HH,BG42	50.25 	52.68 	54.83 	56.59 	64.94 	70.42 	73.70 	75.27 	79.19 	85.53 	88.61 	87.82 
A,PC_HH,CH01	: 	: 	90.76 	: 	: 	90.99 b	: 	96.48 	: 	99.07 	: 	99.84 
A,PC_HH,CH02	: 	: 	85.22 	: 	: 	93.89 b	: 	92.81 	: 	97.52 	: 	99.82 
A,PC_HH,CH03	: 	: 	91.68 	: 	: 	94.62 b	: 	96.76 	: 	97.92 	: 	99.85 
A,PC_HH,CH04	: 	: 	95.23 	: 	: 	94.08 b	: 	95.75 	: 	99.63 	: 	100.00 
A,PC_HH,CH05	: 	: 	92.41 	: 	: 	93.74 b	: 	97.26 	: 	99.24 	: 	99.03 
A,PC_HH,CH06	: 	: 	93.35 	: 	: 	93.50 b	: 	96.41 	: 	99.02 	: 	99.14 
A,PC_HH,CH07	: 	: 	85.03 	: 	: 	85.70 b	: 	92.47 	: 	98.66 	: 	99.24 
A,PC_HH,CY00	61.82 	64.71 	68.64 	71.21 	74.35 	79.41 	86.17 	89.61 	92.78 	93.41 	94.00 	92.30 
A,PC_HH,CZ01	80.67 	80.30 	87.99 	88.47 	90.68 	89.31 	93.17 	93.23 	94.74 	94.16 	96.30 	95.95 
